"coopID"	"long"	"lat"	"elev"
11084	-87.0547	31.0581	25.9
12813	-87.8808	30.5467	7
13160	-88.1342	32.8347	38.1
13511	-87.5808	32.7017	67.1
13816	-86.2542	31.87	132
15749	-87.5997	34.7442	164.6
17157	-86.8133	34.1736	243.8
17304	-86.0536	34.6736	187.5
17366	-87.0153	32.41	44.8
18024	-86.135	33.4164	136.6
18178	-87.8833	31.5411	118.9
18323	-85.9722	31.8075	165.2
18380	-87.6161	33.2119	51.5
18438	-85.7464	32.0142	134.1
18469	-85.6128	34.5667	323.7
20080	-112.86	32.3697	539.5
21026	-112.5828	33.3761	271.3
21248	-109.5394	36.1533	1709.9
21514	-111.6819	33.2058	434.3
21614	-111.6981	34.3494	807.7
23160	-111.7428	35.2681	2239.4
23596	-112.1503	36.0528	2068.1
24089	-110.1544	34.9094	1549.9
24645	-114.0167	35.2	1078.7
24849	-111.6022	36.8644	978.4
25512	-110.87	33.4044	1085.1
26250	-114.2897	34.1547	128
26353	-109.8378	31.9356	1325.9
26796	-112.4322	34.5706	1586.5
27281	-111.1508	33.6731	672.1
27370	-111.7417	33.08	391.7
27390	-109.6808	32.815	900.4
27435	-109.4028	34.5172	1764.8
27716	-112.8797	35.3322	1600.2
28619	-110.0569	31.7056	1405.1
28815	-110.9536	32.2292	742.2
29271	-109.9833	33.8169	1560.6
29287	-112.7403	33.9792	638.6
29359	-112.1903	35.2406	2057.4
29652	-114.635	32.6114	58.2
30936	-91.2153	34.8822	56.4
31596	-92.4289	35.0842	96
31632	-90.5858	36.4197	91.4
32356	-93.7917	36.4164	432.8
32444	-94.1744	36.1006	387.1
32930	-94.4481	36.4261	384
34572	-91.535	36.4947	153
34756	-94.2494	34.5731	344.4
35186	-91.2744	35.6042	69.5
35512	-93.8683	35.5125	253
35754	-92.0189	34.2256	65.5
35820	-90.9681	36.2639	96
35908	-93.3878	33.8203	93.9
36253	-91.2703	33.81	45.7
36928	-93.6369	35.3028	152.4
40693	-122.2589	37.8744	94.5
40924	-114.5972	33.6131	81.7
41048	-115.5581	32.9544	-30.5
41614	-120.1736	41.5336	1423.4
41715	-121.8211	39.6911	56.4
41758	-117.0858	32.64	17.1
41912	-120.9481	39.0911	725.4
42239	-116.5872	32.9897	1414.3
42294	-121.7761	38.535	18.3
42319	-116.8669	36.4622	-59.1
42728	-120.6706	38.3306	217.9
42910	-124.1603	40.8097	6.1
42941	-118.4275	34.7042	932.7
43161	-123.7567	39.5092	37.5
43257	-119.7194	36.78	101.5
43747	-119.6356	36.3219	74.7
43761	-123.3758	41.8042	341.4
43875	-122.8731	38.6175	32.9
44232	-118.2036	36.7981	1204
44259	-116.2153	33.7086	-6.4
44713	-120.6392	39.3183	1571.5
44890	-119.0264	36.3817	156.4
44997	-121.7692	37.6922	146.3
45032	-121.2878	38.1061	12.2
45385	-121.5853	39.1458	17.4
45532	-120.5117	37.2858	46.6
45983	-122.3081	41.3206	1094.2
46074	-122.2647	38.2778	10.7
46118	-114.6189	34.7675	271.3
46175	-117.8803	33.6025	3
46399	-119.2275	34.4478	227.1
46506	-122.1997	39.7458	77.4
46508	-123.5317	41.3089	122.8
46719	-118.1447	34.1483	263.3
46730	-120.6856	35.6278	213.4
46826	-122.6078	38.2578	6.1
47195	-120.9475	39.9367	1042.4
47304	-122.2986	40.5175	151.5
47306	-117.1894	34.0528	401.7
47851	-120.6639	35.3056	96
47902	-119.6844	34.4167	1.5
47916	-121.9911	36.9906	39.6
47965	-122.6978	38.4381	53
48702	-120.6631	40.4167	1275.3
48758	-120.1428	39.1678	1898.9
48839	-118.7497	35.0233	434.3
49087	-117.7539	33.7025	71.6
49122	-123.2103	39.1467	193.9
49200	-121.9608	38.3956	33.5
49452	-119.3531	35.5975	105.2
49490	-122.9331	40.7222	599.8
49699	-122.3058	39.5231	71
49855	-119.5897	37.75	1224.7
49866	-122.6408	41.7036	800.1
50848	-105.2667	39.9919	1671.5
51294	-105.2256	38.46	1635.6
51528	-105.2783	39.2203	2097
51564	-102.3486	38.8236	1295.4
51741	-107.9631	39.2425	1822.7
52184	-106.3247	37.6742	2396.9
52281	-106.0353	39.6261	2763
52446	-102.7808	38.4775	1284.7
53005	-105.1314	40.6147	1525.2
53038	-103.8156	40.26	1328.6
53146	-108.7331	39.1653	1378.9
53662	-106.9675	38.5258	2323.8
53951	-107.1097	37.7717	2757.8
54076	-102.1236	38.0494	1033.3
54770	-102.6306	38.0936	1105.5
54834	-103.2153	38.0636	1185.7
55322	-105.9392	37.1742	2343.9
55722	-107.8792	38.4858	1764.5
57167	-103.6933	38.0392	1271
57337	-106.1444	38.0858	2347.3
57936	-106.8233	40.4883	2094
58204	-107.8733	37.9492	2643.2
58429	-104.4869	37.1786	1837.9
59243	-102.2189	40.0583	1121.7
62658	-73.3667	41.95	167.6
63207	-72.0394	41.3506	12.2
67970	-73.5475	41.1247	57.9
68138	-72.2283	41.795	198.1
72730	-75.5167	39.2583	9.1
73595	-75.5761	38.8161	13.7
75915	-75.425	38.8983	10.7
76410	-75.7514	39.6694	27.4
79605	-75.5414	39.7739	82.3
80211	-85.0206	29.7258	6.1
80228	-81.8739	27.2181	9.1
80478	-81.8433	27.8986	38.1
80611	-80.6711	26.6928	6.1
82220	-86.0939	30.7244	74.7
82850	-81.3897	25.8489	1.5
82915	-81.5389	29.755	1.5
82944	-81.4636	30.6589	4
83163	-80.2011	26.1019	4.9
83186	-81.8614	26.585	4.6
83207	-80.3539	27.4622	7.6
84289	-82.3125	28.8031	12.2
84570	-81.7522	24.555	1.2
84731	-82.5942	30.1853	59.4
85275	-83.4119	30.4517	36.6
86414	-82.0778	29.0803	22.9
86997	-87.1869	30.4781	34.1
87020	-80.4361	25.5819	3
87851	-82.26	28.3378	57.9
88758	-84.3533	30.3931	16.8
88824	-82.7644	28.1586	2.4
88942	-80.8158	28.6242	1.5
90140	-84.1489	31.5339	54.9
90586	-84.6175	30.8228	57.9
91340	-81.5022	31.1681	4
91500	-84.2036	31.1903	53.3
92318	-83.8436	33.5972	234.4
92475	-83.99	34.5292	475.5
92966	-83.2058	32.2003	121.9
93621	-83.86	34.3006	356.6
93754	-81.9522	31.9881	61
94170	-83.4681	33.2842	74.7
95874	-83.2497	33.0831	112.2
95882	-81.9672	32.8703	59.4
96335	-84.8178	33.4544	272.5
97276	-83.5692	30.7836	56.4
97600	-85.1514	34.2453	200.9
97847	-81.21	32.13	14
98535	-84.5197	32.6875	195.1
98703	-83.4767	31.4461	115.8
98740	-83.3319	34.5786	308.5
99141	-82.6222	33.4028	149.4
99157	-82.7058	33.7264	189
99186	-82.3128	31.2514	44.2
99291	-85.1892	32.8694	175.3
100010	-112.8253	42.9536	1342.6
100448	-115.9236	43.5936	986
100470	-111.2739	44.0425	1588.6
100803	-111.385	42.3353	1817.8
101408	-116.6753	44.5733	807.7
101956	-116.8017	47.6789	650.1
102845	-116.3217	46.5022	303.3
103143	-115.5356	46.0931	475.5
103631	-115.3231	42.9403	751.6
103732	-111.7275	42.5872	1691.6
104140	-114.1378	42.5972	1237.5
104295	-114.5739	42.3528	1379.2
104670	-114.5192	42.7325	1140
104831	-116.1267	47.5311	707.1
104845	-114.3603	43.6842	1795.3
105241	-117.0156	46.3747	437.7
105275	-111.3139	42.1231	1806.2
105462	-113.6317	43.9181	1797.4
105559	-112.2872	42.1492	1362.5
105685	-113.8953	44.5664	1539.2
106152	-116.9608	46.7244	810.8
106305	-116.5753	43.6039	752.9
106388	-116.2864	44.9647	1179.6
106542	-113.8981	42.2342	1389.6
106891	-116.9297	44.0772	655.3
107264	-116.5031	48.9958	541
107386	-116.8358	48.3514	725.4
108080	-113.9008	45.1875	1198.2
108137	-116.5578	48.2928	640.1
110072	-90.7478	41.1961	219.5
